method,collision,path_length,clearance,planning_time,success,trial,difficulty,coverage,adaptivity
naive,True,55.39716788007869,0.7371158999074235,0.11852791123483584,False,0,hard,,
ensemble,False,68.45728056894986,1.5163699804983999,0.6554377507266536,True,0,hard,,
learnable_cp,False,64.04376339233214,1.2724906675095375,0.4027527787894682,True,0,hard,0.9462609322275766,1.1051017958518388
naive,False,68.01183015363812,0.48662750848397196,0.10595123580406493,True,1,hard,,
ensemble,False,76.28546184580979,1.6651544782248144,0.6812388635640827,True,1,hard,,
learnable_cp,True,70.5410036877957,1.029837684957346,0.40280988402042583,False,1,hard,0.962607789800615,1.1125636339633593
naive,False,53.919293224236085,0.9055516774546889,0.09783768795790718,True,2,moderate,,
ensemble,False,65.07556966809004,1.9659372834462372,0.6161162513776529,True,2,moderate,,
learnable_cp,False,61.7117060847206,1.8315440869604207,0.3860559473104967,True,2,moderate,0.9682366204620938,0.6879580603567466
naive,True,59.35620844532853,1.0914560959592143,0.1304954806761822,False,3,moderate,,
ensemble,True,72.3962500298537,1.796380525869422,0.6097479943004936,False,3,moderate,,
learnable_cp,False,67.8997085472871,2.0208795406807907,0.35151949856221304,True,3,moderate,0.9794339165853789,0.6683270983490389
naive,False,58.059457816892916,0.8056214146523597,0.07949817762792499,True,4,moderate,,
ensemble,False,69.32691742800526,2.443067489505375,0.5710991187284624,True,4,moderate,,
learnable_cp,False,64.45980124674172,1.51635901165718,0.34888678394859396,True,4,moderate,0.9535940040891053,0.6681655903340253
naive,True,55.053188230253554,1.0927180534103067,0.10547227697238998,False,5,moderate,,
ensemble,False,65.81953680744405,1.7031515501004344,0.5619397875543484,True,5,moderate,,
learnable_cp,False,62.354045134097944,2.1168704674041994,0.3454749775595772,True,5,moderate,0.9544156143760811,0.6305809583580512
naive,True,60.84960887936808,0.38121303234338105,0.09528968391189166,False,6,hard,,
ensemble,False,75.00445960173289,1.2899800774290875,0.6445306994475827,True,6,hard,,
learnable_cp,False,69.97669881810585,1.3652089877943712,0.37648279939129287,True,6,hard,0.9637802426639556,0.9826641393001002
naive,True,65.30843048097317,0.6424958945192246,0.12171174451384528,False,7,hard,,
ensemble,False,76.10205996654432,1.124239277159097,0.6536576558149406,True,7,hard,,
learnable_cp,True,70.28754827535093,1.4626598522087837,0.41919725600514623,False,7,hard,0.9542809230307409,1.1722551973136883
naive,False,49.545884955255765,1.7930020880179436,0.13419317464272282,True,8,easy,,
ensemble,False,59.14538289165471,3.9971135575447234,0.5480784363130717,True,8,easy,,
learnable_cp,False,50.72020453144353,3.4151426647369107,0.3016169618668808,True,8,easy,0.9600250113504682,0.34198922193847564
naive,False,61.01673486158336,1.247660693132121,0.1464065740712498,True,9,moderate,,
ensemble,False,73.77347117067288,1.8803888822783545,0.5931907453241931,True,9,moderate,,
learnable_cp,False,68.98962158470471,2.0735975137243896,0.3273246088275231,True,9,moderate,0.9436019495313042,0.600478459475175
naive,False,74.11515440827344,1.0262901025640634,0.1224843880404338,True,10,moderate,,
ensemble,False,80.90111426378341,2.013679011507005,0.6058656613485822,True,10,moderate,,
learnable_cp,False,76.80347108121535,1.6785669064367332,0.36003009245446366,True,10,moderate,0.9496381956571214,0.6637803179478812
naive,True,65.59877047992038,0.6911955442938961,0.13867909404630793,False,11,hard,,
ensemble,True,74.23150434573999,1.201244562890145,0.6809134260832274,False,11,hard,,
learnable_cp,False,68.07863477351637,1.2742075192537734,0.4110421254955364,True,11,hard,0.9465392095897811,1.0557729060917842
naive,True,60.77226602396181,0.6660657240045599,0.1277679948678707,False,12,hard,,
ensemble,False,67.91978185536803,1.477932183570054,0.6394260823740193,True,12,hard,,
learnable_cp,True,59.255356548406866,1.0530768316653,0.40767089793956146,False,12,hard,0.9620407307333393,1.0537389740940533
naive,False,56.47992264360913,1.277576977442209,0.11392553836845946,True,13,moderate,,
ensemble,True,60.284908458963876,2.1097204933132896,0.5840122315877376,False,13,moderate,,
learnable_cp,False,59.73352835329858,1.8179831607212844,0.3720685665527512,True,13,moderate,0.9569286038248067,0.670757205768579
naive,True,64.35481921235466,0.6990194128917367,0.08740076059101891,False,14,moderate,,
ensemble,False,75.44195985437048,2.155920231491044,0.5639283098059371,True,14,moderate,,
learnable_cp,False,70.0113320275,2.1241165324498716,0.3654403766477763,True,14,moderate,0.9383165259255424,0.6074996806556747
naive,False,60.79569589502863,0.942859643303715,0.14374964329842924,True,15,moderate,,
ensemble,False,67.45028350172271,2.3560172416789738,0.6470939733023773,True,15,moderate,,
learnable_cp,False,65.15810474422496,1.8991368837485496,0.3637352492579258,True,15,moderate,0.9584168894962086,0.7093502473926154
naive,True,60.21559984304557,0.9761642600197046,0.10237785174746397,False,16,moderate,,
ensemble,False,65.28604501280832,2.042233585398516,0.6198624774257677,True,16,moderate,,
learnable_cp,False,57.787526003528896,1.7100614220064438,0.36067492688737457,True,16,moderate,0.9457815553497708,0.7714111342199815
naive,True,57.90890042527813,1.0120878956315216,0.125449622090211,False,17,hard,,
ensemble,False,68.25712516769613,1.3317879518288638,0.6515134461710126,True,17,hard,,
learnable_cp,False,63.544695048092,1.5478656197133112,0.41051946885146406,True,17,hard,0.9454539023804481,1.0854106133892636
naive,False,73.63192263372244,0.5211561348517947,0.14248633080746503,True,18,hard,,
ensemble,False,82.46712235047161,1.1215196430082566,0.6529331247444474,True,18,hard,,
learnable_cp,False,81.33601037288429,1.3433383785013406,0.39369102104561127,True,18,hard,0.9635644011246713,1.1337471247078075
naive,False,71.34511022417557,2.051161666316205,0.12030096186510592,True,19,easy,,
ensemble,False,79.9306665817277,3.9177186268275612,0.5482038969910814,True,19,easy,,
learnable_cp,False,71.06227076953606,3.8558579231773606,0.3248007429718045,True,19,easy,0.9477452778267167,0.3159724234811403
naive,False,49.766836823719345,1.9785119165600689,0.08959196571357322,True,20,easy,,
ensemble,False,60.97156965712869,4.053531660802006,0.5544317778260855,True,20,easy,,
learnable_cp,False,58.71407657733143,3.5435563747443912,0.3066347181747258,True,20,easy,0.9485715047022332,0.3867946650971986
naive,True,62.577246963847905,0.5851493482226162,0.10713836847962659,False,21,hard,,
ensemble,False,74.13812195845749,1.4942080815926282,0.6429130931966598,True,21,hard,,
learnable_cp,False,67.78564963037925,1.0105072680864007,0.42039240965653857,True,21,hard,0.9655837351988814,0.9873849016283713
naive,False,61.39880549877096,0.4669777558712146,0.14452078985046676,True,22,hard,,
ensemble,False,69.78539043500999,1.5419319656654173,0.6244254765752462,True,22,hard,,
learnable_cp,False,63.11437913266405,0.7166150807600937,0.3739125814478461,True,22,hard,0.9618447052742275,1.1224865913617263
naive,True,65.36052523011105,0.7064056113984566,0.11312871986419859,False,23,hard,,
ensemble,False,77.20988683704059,1.3228333530176846,0.6670858857378117,True,23,hard,,
