scenario_id,environment,method,success,collision_count,collision_rate,path_length,planning_time,min_clearance,avg_clearance,path_smoothness,uncertainty_mean,uncertainty_std,coverage_rate,uncertainty_efficiency,adaptivity_score
40,moderate,naive,False,0,1.0,inf,0.0023522377014160156,0,0,0,,,,,
40,moderate,ensemble,False,0,1.0,inf,0.010589361190795898,0,0,0,0.0,0.0,,,
40,moderate,learnable_cp,False,0,1.0,inf,0.001878976821899414,0,0,0,,,0.0,0.0,0.0
41,moderate,naive,False,0,1.0,inf,0.0013074874877929688,0,0,0,,,,,
41,moderate,ensemble,False,0,1.0,inf,0.006660938262939453,0,0,0,0.0,0.0,,,
41,moderate,learnable_cp,False,0,1.0,inf,0.0012581348419189453,0,0,0,,,0.0,0.0,0.0
42,moderate,naive,False,0,1.0,inf,0.0018339157104492188,0,0,0,,,,,
42,moderate,ensemble,False,0,1.0,inf,0.009672880172729492,0,0,0,0.0,0.0,,,
42,moderate,learnable_cp,False,0,1.0,inf,0.0019936561584472656,0,0,0,,,0.0,0.0,0.0
43,moderate,naive,False,0,1.0,inf,0.002162933349609375,0,0,0,,,,,
43,moderate,ensemble,False,0,1.0,inf,0.010043621063232422,0,0,0,0.0,0.0,,,
43,moderate,learnable_cp,False,0,1.0,inf,0.002150297164916992,0,0,0,,,0.0,0.0,0.0
44,moderate,naive,False,0,1.0,inf,0.0014748573303222656,0,0,0,,,,,
44,moderate,ensemble,False,0,1.0,inf,0.008612871170043945,0,0,0,0.0,0.0,,,
44,moderate,learnable_cp,False,0,1.0,inf,0.0016138553619384766,0,0,0,,,0.0,0.0,0.0
45,moderate,naive,False,0,1.0,inf,0.001280069351196289,0,0,0,,,,,
45,moderate,ensemble,False,0,1.0,inf,0.006571054458618164,0,0,0,0.0,0.0,,,
45,moderate,learnable_cp,False,0,1.0,inf,0.0011165142059326172,0,0,0,,,0.0,0.0,0.0
46,moderate,naive,False,0,1.0,inf,0.0024034976959228516,0,0,0,,,,,
